country,weight,ai_heard,ai_cncexc,aireg_us,aireg_china,aireg_eu,aireg_country
2,0.390256353782166,1,3,8,8,8,2
2,1.28637097363656,2,3,3,4,2,2
2,1.09190153148532,2,3,4,2,4,4
2,2.42138601666446,2,2,4,2,2,8
2,2.48127239251815,2,2,2,1,8,1
2,0.829638781858881,2,3,8,4,8,2
2,1.83311969442652,1,3,2,2,2,2
2,1.69918019934921,1,2,2,8,1,1
2,0.336630485577186,1,3,2,4,2,2
2,1.06011885063046,2,2,2,4,2,8
2,2.48127239251815,1,2,3,3,2,2
2,2.48127239251815,2,3,4,2,1,1
2,1.00862842714413,1,3,3,2,2,2
2,0.576840722779992,3,3,2,4,2,2
2,1.09190153148532,1,3,3,1,2,2
2,0.738325902584629,1,3,4,4,4,4
2,2.42138601666446,2,3,3,3,8,1
2,0.504166778147532,1,3,2,4,2,2
2,0.31014263107127,1,1,2,3,2,2
2,1.33649333045364,2,3,4,3,2,2
2,2.14215887427956,3,3,2,4,8,2
2,1.32976202612419,2,2,2,8,1,2
2,1.7077815120711,1,1,1,4,2,2
2,1.33649333045364,2,1,2,4,4,2
2,2.42138601666446,2,2,4,4,4,4
2,0.89766000510388,1,2,4,4,8,3
2,0.829638781858881,2,3,4,4,2,2
2,2.48127239251815,2,2,4,4,4,4
2,0.902203993095731,3,3,2,3,8,1
2,0.829638781858881,2,3,3,4,2,2
2,0.854511601178106,2,2,4,4,8,8
2,0.854511601178106,2,3,3,2,3,3
2,0.390256353782166,1,3,8,8,8,8
2,1.33649333045364,1,2,2,4,2,2
2,1.33649333045364,1,2,3,3,3,2
2,1.00862842714413,1,3,3,4,2,3
2,0.435368943204251,2,2,2,4,2,2
2,0.31014263107127,1,3,3,3,2,2
2,0.625510874202939,2,3,3,4,2,2
2,1.44607103244166,2,2,2,8,2,2
2,2.48127239251815,2,3,2,8,4,8
2,0.560050248485791,1,1,1,4,2,2
2,2.48127239251815,3,3,8,8,8,8
2,0.829638781858881,1,2,3,3,3,2
2,0.533129951042442,2,2,2,1,2,1
2,1.32976202612419,1,2,2,2,2,2
2,2.14215887427956,2,2,4,8,8,2
2,0.902203993095731,3,2,2,4,2,2
2,0.96589588522751,2,2,3,3,3,3
2,0.681237573862505,2,2,3,3,3,3
2,0.422253067465099,2,3,3,4,2,2
2,0.435368943204251,1,3,2,4,2,8
2,0.560050248485791,2,2,2,3,2,2
2,0.722092069984613,2,3,2,4,3,2
2,0.422253067465099,2,3,2,3,2,2
2,0.89766000510388,2,2,4,4,2,2
2,0.89766000510388,2,1,4,4,2,2
2,0.42269637907921,2,3,8,4,1,1
2,0.715636538096469,1,3,1,3,1,1
2,0.89766000510388,1,2,3,4,3,3
2,1.56959341340303,2,3,3,4,3,3
2,0.646911328658502,2,2,3,4,1,2
2,1.32976202612419,2,3,3,3,3,3
2,0.403608101400865,2,2,2,4,2,2
2,0.390256353782166,1,3,1,4,2,2
2,0.681237573862505,1,3,3,4,2,2
2,0.422253067465099,3,2,4,4,1,1
2,0.539558234673303,2,1,4,3,1,2
2,0.560050248485791,2,2,2,4,2,2
2,0.390256353782166,1,3,2,4,1,1
2,0.31014263107127,2,3,2,3,2,2
2,1.15284323865847,1,2,4,2,1,1
2,0.576840722779992,2,3,8,8,8,8
2,0.89766000510388,2,2,8,4,3,3
2,1.33649333045364,1,3,4,8,9,2
2,0.390256353782166,2,3,2,2,2,2
2,0.533129951042442,1,2,2,3,2,2
2,0.31014263107127,2,3,3,3,2,8
2,0.625510874202939,2,2,4,4,4,4
2,1.14703689566615,2,2,3,4,3,3
2,1.54815770121945,2,3,8,8,3,8
2,0.628081264126788,2,3,8,8,8,8
2,1.09190153148532,2,3,4,3,2,2
2,1.06011885063046,3,3,3,3,3,3
2,0.625510874202939,1,3,4,4,2,2
2,0.854511601178106,2,2,4,4,2,2
2,1.33649333045364,2,3,2,4,1,1
2,0.698239436917277,2,8,4,3,1,1
2,0.933891171810764,2,3,8,8,8,2
2,0.448692087399223,1,2,4,4,2,2
2,0.929813206111311,2,2,4,4,2,2
2,0.886973364249049,2,8,8,8,8,8
2,0.594493181107789,1,2,2,4,1,1
2,0.75964798373039,1,2,3,8,4,3
2,0.577188885344198,2,3,2,4,2,4
2,0.448692087399223,3,2,2,3,2,1
2,1.49032364435191,2,2,2,4,8,3
2,0.698239436917277,2,2,4,4,2,2
2,1.49032364435191,2,2,4,4,8,8
2,1.38269670352581,2,2,4,4,4,4
2,2.48127239251815,3,2,3,3,8,8
2,0.448692087399223,2,3,3,8,8,2
2,1.7739467284981,2,2,2,2,3,3
2,0.435631717938516,1,1,2,2,2,3
2,1.49032364435191,2,3,4,4,2,2
2,0.594493181107789,2,3,4,4,2,2
2,1.49032364435191,2,2,4,4,8,8
2,0.925130163168066,2,2,2,4,3,2
2,1.37045535415227,2,2,3,3,3,3
